sale_id,gem_id,customer_id,user_id,quantity_sold,unit_price,sale_date,notes
901,169,12,50,6,66751.23,2/8/2024,Estate sale follow-up
902,132,28,38,10,4765.54,2/19/2023,Corporate gift
903,142,18,5,3,29898.84,10/31/2024,Payment plan arranged
904,152,75,21,10,65072.01,3/28/2022,Layaway plan completed
905,140,17,46,10,29031.63,11/16/2022,Wedding anniversary
906,157,63,23,10,276.08,2/25/2024,Repeat customer discount applied
907,178,17,4,8,91469.75,9/25/2021,Holiday season purchase
908,144,73,16,5,24014.6,1/23/2024,Wholesale to retailer
909,158,20,45,2,42098.7,8/25/2022,VIP client order
910,180,15,17,3,17611.73,5/30/2020,Investment purchase
911,119,7,18,2,47283.15,7/26/2023,Tax-free sale processed
912,166,1,22,5,61618.55,7/31/2022,Wholesale to retailer
913,122,18,21,2,59583.82,6/6/2025,Referred by existing client
914,129,63,13,7,42295.57,2/25/2021,Online order fulfilled
915,135,74,45,2,61115.8,12/30/2022,Insurance replacement stone
916,171,44,6,8,69186.01,6/2/2025,VIP client order
917,145,27,2,1,72770.15,8/24/2024,Corporate gift
918,120,56,34,8,32386.55,4/25/2024,First-time customer
919,170,55,30,3,52623.35,5/25/2020,None
920,134,71,26,7,40887.18,3/10/2024,Online order fulfilled
921,154,64,6,6,63105.35,8/25/2024,Referred by existing client
922,131,23,22,10,48259.04,1/10/2020,Wedding anniversary
923,159,5,18,9,63848.03,4/16/2025,Investment purchase
924,146,47,14,7,4421.74,7/1/2022,Holiday season purchase
925,137,65,40,2,50755.62,4/3/2024,Payment plan arranged
926,103,3,15,2,82281.72,12/10/2023,Birthday gift
927,108,16,23,8,69014.21,3/28/2024,Referred by existing client
928,172,72,13,5,42060.95,3/31/2020,Certified by GIA
929,135,74,23,7,36691.84,12/2/2023,Payment plan arranged
930,135,6,4,8,36380.72,1/25/2025,Engagement ring stone
931,134,30,38,3,78126.7,3/19/2021,Loyalty reward redemption
932,108,31,13,10,64325.04,4/25/2021,Online order fulfilled
933,163,5,22,3,35743.04,6/26/2022,Investment purchase
934,143,71,41,8,42781.06,6/22/2023,Birthday gift
935,170,56,21,8,11676.47,1/29/2024,Tax-free sale processed
936,134,37,30,9,47680.7,6/5/2023,Repeat customer discount applied
937,115,19,14,3,2818.35,3/31/2023,Repeat customer discount applied
938,141,13,1,7,63352.66,12/10/2024,Walk-in customer
939,144,57,27,8,74467.06,1/1/2025,Auction house consignment
940,124,17,34,3,55774.06,9/8/2022,Tax-free sale processed
941,154,20,46,4,31284.94,3/28/2022,Tax-free sale processed
942,118,44,48,1,30322.45,2/3/2023,Insurance replacement stone
943,156,11,6,7,85471.31,9/7/2024,Auction house consignment
944,101,17,30,2,93910.28,8/22/2021,Wholesale to retailer
945,113,7,3,10,80167.66,4/10/2021,Tax-free sale processed
946,126,57,46,2,36780.63,4/15/2020,Repeat customer discount applied
947,165,5,22,10,70538.73,7/24/2023,Customer requested custom setting
948,117,47,2,8,83569.69,6/15/2024,Payment plan arranged
949,153,61,14,6,54940.69,8/9/2023,Online order fulfilled
950,180,32,17,1,50815.48,3/20/2025,Complementary stone purchase
951,108,32,42,5,47498.33,1/31/2022,Private sale
952,164,37,39,8,56316.5,1/5/2022,Corporate gift
953,162,6,14,10,78567.47,10/9/2020,Customer requested custom setting
954,113,31,16,5,26395.77,1/10/2021,Engagement ring stone
955,115,56,5,5,71997.7,12/22/2022,None
956,113,8,38,6,30967.92,4/26/2020,Certified by GIA
957,177,67,11,7,90261.43,8/31/2024,Wedding anniversary
958,175,36,47,7,10293.33,5/27/2021,Certified by GIA
959,108,74,33,4,34962.98,8/14/2020,Gallery exhibition sale
960,114,27,47,10,8957.41,11/20/2022,Payment plan arranged
961,140,53,16,5,72001.66,11/17/2024,Engagement ring stone
962,105,27,34,3,72876.08,8/17/2022,Private sale
963,160,51,31,2,59768.41,6/7/2024,Referred by existing client
964,108,23,28,7,48516.76,10/25/2021,Insurance replacement stone
965,129,37,30,1,73746.09,12/29/2020,Gallery exhibition sale
966,128,5,11,10,68609.37,7/11/2022,Walk-in customer
967,174,23,21,8,73478.39,2/12/2022,First-time customer
968,158,35,7,8,83438.37,4/28/2025,Holiday season purchase
969,147,9,29,4,44734.36,2/12/2021,VIP client order
970,171,68,3,6,60992.96,5/16/2022,None
971,141,32,4,5,85537.38,11/5/2022,Estate sale follow-up
972,124,11,14,6,30917.95,6/30/2022,Repeat customer discount applied
973,141,55,6,8,28541.28,7/23/2022,Customer requested custom setting
974,156,52,41,10,81147.03,9/3/2024,None
975,147,44,2,8,65829.84,2/3/2021,Referred by existing client
976,171,24,26,3,17841.84,2/1/2025,Rush order fulfilled
977,143,10,19,10,39740.71,8/27/2023,Birthday gift
978,149,45,36,5,19887.34,7/13/2021,Tax-free sale processed
979,106,32,45,5,73714.49,9/1/2020,Auction house consignment
980,150,70,36,1,21590.77,8/24/2022,Matching set completed
981,131,19,35,9,7829.29,2/16/2020,Online order fulfilled
982,158,58,16,7,61492.3,10/11/2021,Customer requested custom setting
983,135,38,49,3,62015.56,6/28/2024,Wholesale to retailer
984,109,40,26,9,19220.43,10/18/2021,Certified by GIA
985,118,6,47,10,66673.85,8/13/2021,None
986,129,62,35,8,14683.56,10/21/2024,Complementary stone purchase
987,102,67,3,2,58062.78,3/10/2020,Certified by GIA
988,150,62,42,4,11180.59,6/23/2025,Holiday season purchase
989,155,4,27,1,87415.16,7/6/2024,Certified by GIA
990,113,10,3,5,85377.14,6/30/2023,Loyalty reward redemption
991,152,48,26,9,78995.6,1/26/2023,Loyalty reward redemption
992,101,61,45,9,91541.94,4/18/2020,Wholesale to retailer
993,140,12,29,3,11676.81,1/29/2020,Birthday gift
994,108,23,41,6,17438.79,10/25/2024,Gallery exhibition sale
995,165,25,48,8,32074.7,9/26/2023,Rush order fulfilled
996,113,13,20,2,37002.36,11/1/2021,Rush order fulfilled
997,141,14,23,4,94423.93,11/3/2022,Complementary stone purchase
998,179,60,13,4,567.49,2/6/2023,First-time customer
999,117,46,9,9,30814.1,7/16/2022,Complementary stone purchase
1000,151,68,10,5,94802.52,8/24/2024,Walk-in customer
